"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.88779,6.4965,106.15,0.22386,-0.014104,-1.7643e-10,-3.5611e-12,102.94,0.22392,6.4964,106.15,0.021105,-0.025723,-6.6938e-13,1,3.2512,54.051,0,0
0.88789,6.6994,105.69,0.23912,-0.014199,-1.7064e-10,-3.8218e-12,102.38,0.23918,6.6993,105.69,0.021093,-0.025662,-6.6969e-13,1,3.3528,54.153,0,0
0.88799,6.9043,105.24,0.25643,-0.014289,-1.6405e-10,-4.0825e-12,101.82,0.25649,6.9042,105.24,0.02108,-0.025601,-6.6999e-13,1,3.4544,54.254,0,0
0.88809,7.111,104.78,0.27579,-0.014375,-1.5666e-10,-4.3431e-12,101.27,0.27584,7.111,104.78,0.021069,-0.02554,-6.703e-13,1,3.556,54.356,0,0
0.88819,7.3197,104.34,0.29719,-0.014456,-1.4847e-10,-4.6038e-12,100.72,0.29725,7.3197,104.34,0.021057,-0.025479,-6.706e-13,1,3.6576,54.458,0,0
0.88828,7.5304,103.89,0.32065,-0.014532,-1.3948e-10,-4.8645e-12,100.17,0.3207,7.5303,103.89,0.021045,-0.025418,-6.709e-13,1,3.7592,54.559,0,0
0.88838,7.7429,103.46,0.34615,-0.014604,-1.2969e-10,-5.1252e-12,99.623,0.3462,7.7429,103.46,0.021034,-0.025357,-6.7121e-13,1,3.8608,54.661,0,0
0.88848,7.9574,103.02,0.3737,-0.014671,-1.1909e-10,-5.3859e-12,99.082,0.37375,7.9574,103.02,0.021023,-0.025296,-6.7151e-13,1,3.9624,54.762,0,0
0.88858,8.1738,102.6,0.40331,-0.014734,-1.077e-10,-5.6465e-12,98.543,0.40335,8.1738,102.6,0.021012,-0.025235,-6.7182e-13,1,4.064,54.864,0,0
0.88868,8.3921,102.17,0.43496,-0.014792,-9.5515e-11,-5.9072e-12,98.007,0.435,8.3921,102.17,0.021001,-0.025175,-6.7212e-13,1,4.1656,54.966,0,0
0.88877,8.6124,101.76,0.46866,-0.014846,-8.2525e-11,-6.1679e-12,97.475,0.46869,8.6123,101.76,0.02099,-0.025114,-6.7242e-13,1,4.2672,55.067,0,0
0.88887,8.8346,101.34,0.50441,-0.014895,-6.8735e-11,-6.4286e-12,96.946,0.50444,8.8345,101.34,0.02098,-0.025053,-6.7273e-13,1,4.3688,55.169,0,0
0.88897,9.0587,100.93,0.54221,-0.01494,-5.4145e-11,-6.6893e-12,96.419,0.54223,9.0586,100.93,0.020969,-0.024992,-6.7303e-13,1,4.4704,55.27,0,0
0.88907,9.2847,100.53,0.58205,-0.01498,-3.8756e-11,-6.95e-12,95.896,0.58208,9.2846,100.53,0.020959,-0.024931,-6.7334e-13,1,4.572,55.372,0,0
0.88917,9.5126,100.13,0.62395,-0.015015,-2.2567e-11,-7.2106e-12,95.376,0.62397,9.5126,100.13,0.020949,-0.02487,-6.7364e-13,1,4.6736,55.474,0,0
0.88926,9.7425,99.736,0.66789,-0.015046,-5.5783e-12,-7.4713e-12,94.859,0.66791,9.7425,99.736,0.020939,-0.024809,-6.7394e-13,1,4.7752,55.575,0,0
0.88936,9.9743,99.346,0.71389,-0.015072,1.221e-11,-7.732e-12,94.345,0.7139,9.9743,99.346,0.020929,-0.024748,-6.7425e-13,1,4.8768,55.677,0,0
0.88946,10.208,98.961,0.76193,-0.015094,3.0799e-11,-7.9927e-12,93.834,0.76194,10.208,98.961,0.02092,-0.024687,-6.7455e-13,1,4.9784,55.778,0,0
0.88956,10.445,98.578,0.81204,-0.015246,5.0172e-11,-8.2548e-12,93.323,0.81204,10.445,98.578,0.02091,-0.024626,-6.7486e-13,1,5.08,55.88,0,0
0.88956,10.516,98.087,0.77836,-0.014736,3.025e-11,-8.4234e-12,92.823,0.77836,10.516,98.088,0.020901,-0.024565,-6.7515e-13,1,5.1816,55.982,0,0
0.88956,10.589,97.6,0.74583,-0.014231,1.1128e-11,-8.5919e-12,92.326,0.74584,10.589,97.6,0.020891,-0.024504,-6.7545e-13,1,5.2832,56.083,0,0
0.88956,10.663,97.116,0.71447,-0.013732,-7.1954e-12,-8.7605e-12,91.83,0.71447,10.663,97.116,0.020882,-0.024443,-6.7574e-13,1,5.3848,56.185,0,0
0.88956,10.738,96.635,0.68425,-0.013237,-2.4719e-11,-8.929e-12,91.337,0.68426,10.738,96.635,0.020873,-0.024382,-6.7604e-13,1,5.4864,56.286,0,0
0.88956,10.815,96.157,0.6552,-0.012748,-4.1442e-11,-9.0976e-12,90.846,0.65521,10.815,96.157,0.020864,-0.024321,-6.7633e-13,1,5.588,56.388,0,0
0.88956,10.893,95.682,0.6273,-0.012264,-5.7366e-11,-9.2661e-12,90.358,0.62731,10.893,95.682,0.020856,-0.02426,-6.7663e-13,1,5.6896,56.49,0,0
0.88956,10.972,95.211,0.60056,-0.011785,-7.249e-11,-9.4347e-12,89.872,0.60057,10.972,95.211,0.020847,-0.0242,-6.7692e-13,1,5.7912,56.591,0,0
0.88956,11.052,94.743,0.57498,-0.011312,-8.6814e-11,-9.6032e-12,89.388,0.57499,11.052,94.743,0.020838,-0.024139,-6.7722e-13,1,5.8928,56.693,0,0
0.88956,11.133,94.278,0.55055,-0.010843,-1.0034e-10,-9.7718e-12,88.906,0.55056,11.133,94.278,0.02083,-0.024078,-6.7751e-13,1,5.9944,56.794,0,0
0.88956,11.216,93.816,0.52728,-0.01038,-1.1306e-10,-9.9404e-12,88.427,0.52729,11.216,93.816,0.020822,-0.024017,-6.7781e-13,1,6.096,56.896,0,0
0.88956,11.3,93.357,0.50517,-0.0099218,-1.2499e-10,-1.0109e-11,87.949,0.50518,11.3,93.357,0.020813,-0.023956,-6.781e-13,1,6.1976,56.998,0,0
0.88956,11.385,92.902,0.48421,-0.0094689,-1.3611e-10,-1.0277e-11,87.475,0.48422,11.385,92.902,0.020805,-0.023895,-6.784e-13,1,6.2992,57.099,0,0
0.88956,11.471,92.449,0.46441,-0.0090211,-1.4644e-10,-1.0446e-11,87.002,0.46442,11.471,92.449,0.020797,-0.023834,-6.7869e-13,1,6.4008,57.201,0,0
0.88956,11.559,92,0.44576,-0.0085786,-1.5596e-10,-1.0615e-11,86.532,0.44578,11.559,92,0.020789,-0.023773,-6.7899e-13,1,6.5024,57.302,0,0
0.88956,11.648,91.554,0.42828,-0.0081412,-1.6469e-10,-1.0783e-11,86.064,0.42829,11.648,91.554,0.020782,-0.023712,-6.7928e-13,1,6.604,57.404,0,0
0.88956,11.738,91.112,0.41194,-0.007709,-1.7262e-10,-1.0952e-11,85.598,0.41196,11.738,91.112,0.020774,-0.023651,-6.7958e-13,1,6.7056,57.506,0,0
0.88956,11.829,90.672,0.39677,-0.007282,-1.7974e-10,-1.112e-11,85.135,0.39679,11.829,90.672,0.020766,-0.02359,-6.7988e-13,1,6.8072,57.607,0,0
0.88956,11.921,90.236,0.38275,-0.0068601,-1.8607e-10,-1.1289e-11,84.673,0.38277,11.921,90.236,0.020759,-0.023529,-6.8017e-13,1,6.9088,57.709,0,0
0.88956,12.015,89.803,0.36989,-0.0064435,-1.916e-10,-1.1457e-11,84.215,0.36991,12.015,89.803,0.020752,-0.023469,-6.8047e-13,1,7.0104,57.81,0,0
0.88956,12.11,89.373,0.35819,-0.006032,-1.9632e-10,-1.1626e-11,83.758,0.3582,12.11,89.373,0.020744,-0.023408,-6.8076e-13,1,7.112,57.912,0,0
0.88956,12.206,88.947,0.34764,-0.0056256,-2.0025e-10,-1.1794e-11,83.304,0.34766,12.206,88.947,0.020737,-0.023347,-6.8106e-13,1,7.2136,58.014,0,0
0.88956,12.303,88.523,0.33825,-0.0052245,-2.0338e-10,-1.1963e-11,82.852,0.33827,12.303,88.523,0.02073,-0.023286,-6.8135e-13,1,7.3152,58.115,0,0
0.88956,12.402,88.103,0.33001,-0.0048285,-2.0571e-10,-1.2132e-11,82.402,0.33003,12.402,88.103,0.020723,-0.023225,-6.8165e-13,1,7.4168,58.217,0,0
0.88956,12.502,87.686,0.32294,-0.0044377,-2.0724e-10,-1.23e-11,81.954,0.32296,12.502,87.686,0.020717,-0.023164,-6.8194e-13,1,7.5184,58.318,0,0
0.88956,12.603,87.272,0.31702,-0.0040521,-2.0796e-10,-1.2469e-11,81.509,0.31703,12.603,87.272,0.02071,-0.023103,-6.8224e-13,1,7.62,58.42,0,0
0.88956,12.705,86.861,0.31225,-0.0036716,-2.0789e-10,-1.2637e-11,81.066,0.31227,12.705,86.861,0.020703,-0.023042,-6.8253e-13,1,7.7216,58.522,0,0
