"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.008958,2.8622e-08,-0.00056546,-0.98254,19.495,2.5358e-06,0.044569,-8.0669e-12,-1.4686e-11,20.004,-0.98264,2.5358e-06,19.495,0.03093,1,0.145,95.145,0,5
0.0089578,2.8619e-08,-0.00056546,-0.9815,19.494,3.4283e-06,0.043102,-8.4039e-12,-1.4573e-11,20.003,-0.9816,3.4283e-06,19.494,0.030987,1,0.15,95.15,0,5
0.0089577,2.8616e-08,-0.00056546,-0.98047,19.493,4.2892e-06,0.041622,-8.7404e-12,-1.446e-11,20.001,-0.98056,4.2892e-06,19.493,0.031043,1,0.155,95.155,0,5
0.0089575,2.8613e-08,-0.00056546,-0.97943,19.491,5.1213e-06,0.040123,-9.0774e-12,-1.4349e-11,19.999,-0.97952,5.1213e-06,19.492,0.0311,1,0.16,95.16,0,5
0.0089574,2.8611e-08,-0.00056546,-0.9784,19.49,5.922e-06,0.038611,-9.4139e-12,-1.4238e-11,19.998,-0.97847,5.922e-06,19.491,0.031157,1,0.165,95.165,0,5
0.0089572,2.8608e-08,-0.00056546,-0.97736,19.489,6.6925e-06,0.037084,-9.7503e-12,-1.4128e-11,19.996,-0.97743,6.6925e-06,19.489,0.031213,1,0.17,95.17,0,5
0.0089571,2.8605e-08,-0.00056546,-0.97632,19.488,7.4341e-06,0.035538,-1.0087e-11,-1.4018e-11,19.995,-0.97639,7.4341e-06,19.488,0.03127,1,0.175,95.175,0,5
0.0089569,2.8602e-08,-0.00056546,-0.97528,19.487,8.1444e-06,0.033979,-1.0424e-11,-1.3909e-11,19.993,-0.97535,8.1444e-06,19.487,0.031326,1,0.18,95.18,0,5
0.0089568,2.8599e-08,-0.00056546,-0.97424,19.486,8.8246e-06,0.032404,-1.076e-11,-1.3801e-11,19.991,-0.9743,8.8246e-06,19.486,0.031383,1,0.185,95.185,0,5
0.0089566,2.8596e-08,-0.00056546,-0.9732,19.485,9.4757e-06,0.03081,-1.1097e-11,-1.3694e-11,19.99,-0.97326,9.4757e-06,19.485,0.031439,1,0.19,95.19,0,5
0.0089565,2.8594e-08,-0.00056546,-0.97216,19.484,1.0096e-05,0.029204,-1.1433e-11,-1.3587e-11,19.988,-0.97221,1.0096e-05,19.484,0.031496,1,0.195,95.195,0,5
0.0089563,2.8591e-08,-0.00056546,-0.97112,19.483,1.0685e-05,0.027581,-1.177e-11,-1.3481e-11,19.987,-0.97116,1.0685e-05,19.483,0.031553,1,0.2,95.2,0,5
0.0089562,2.8588e-08,-0.00056546,-0.97008,19.482,1.1246e-05,0.025941,-1.2107e-11,-1.3376e-11,19.985,-0.97012,1.1246e-05,19.482,0.031609,1,0.205,95.205,0,5
0.008956,2.8585e-08,-0.00056546,-0.96903,19.481,1.1776e-05,0.024287,-1.2443e-11,-1.3271e-11,19.983,-0.96907,1.1776e-05,19.481,0.031666,1,0.21,95.21,0,5
0.0089559,2.8582e-08,-0.00056546,-0.96799,19.48,1.2275e-05,0.022617,-1.2779e-11,-1.3168e-11,19.982,-0.96802,1.2275e-05,19.48,0.031722,1,0.215,95.215,0,5
0.0089557,2.8579e-08,-0.00056546,-0.96695,19.479,1.2745e-05,0.020929,-1.3116e-11,-1.3064e-11,19.98,-0.96697,1.2745e-05,19.479,0.031779,1,0.22,95.22,0,5
0.0089556,2.8577e-08,-0.00056546,-0.9659,19.478,1.3184e-05,0.019228,-1.3452e-11,-1.2962e-11,19.979,-0.96592,1.3184e-05,19.478,0.031836,1,0.225,95.225,0,5
0.0089554,2.8574e-08,-0.00056546,-0.96485,19.477,1.3594e-05,0.017508,-1.3789e-11,-1.286e-11,19.977,-0.96487,1.3594e-05,19.477,0.031892,1,0.23,95.23,0,5
0.0089553,2.8571e-08,-0.00056546,-0.96381,19.476,1.3973e-05,0.015775,-1.4125e-11,-1.276e-11,19.975,-0.96382,1.3973e-05,19.476,0.031949,1,0.235,95.235,0,5
0.0089551,2.8568e-08,-0.00056546,-0.96276,19.475,1.4322e-05,0.014026,-1.4462e-11,-1.2659e-11,19.974,-0.96277,1.4322e-05,19.475,0.032005,1,0.24,95.24,0,5
0.008955,2.8565e-08,-0.00056546,-0.96171,19.474,1.4641e-05,0.012259,-1.4798e-11,-1.256e-11,19.972,-0.96172,1.4641e-05,19.474,0.032062,1,0.245,95.245,0,5
0.0089548,2.8563e-08,-0.00056546,-0.96066,19.473,1.4929e-05,0.010478,-1.5134e-11,-1.2461e-11,19.97,-0.96067,1.4929e-05,19.473,0.032119,1,0.25,95.25,0,5
0.0089546,2.8703e-08,-0.00056546,-0.95956,19.472,1.3911e-05,0.0098577,-1.4954e-11,-1.2348e-11,19.969,-0.95956,1.3911e-05,19.472,0.032119,1,0.255,95.255,0,5
0.0089545,2.8699e-08,-0.00056546,-0.95846,19.471,1.2924e-05,0.0092587,-1.4773e-11,-1.2234e-11,19.967,-0.95846,1.2924e-05,19.471,0.032119,1,0.26,95.26,0,5
0.0089543,2.8696e-08,-0.00056546,-0.95736,19.469,1.197e-05,0.0086766,-1.4592e-11,-1.212e-11,19.965,-0.95737,1.197e-05,19.469,0.032119,1,0.265,95.265,0,5
0.0089542,2.8692e-08,-0.00056546,-0.95627,19.468,1.1046e-05,0.0081103,-1.4411e-11,-1.2006e-11,19.964,-0.95627,1.1046e-05,19.468,0.032119,1,0.27,95.27,0,5
0.008954,2.8689e-08,-0.00056546,-0.95517,19.467,1.0151e-05,0.0075592,-1.4231e-11,-1.1891e-11,19.962,-0.95518,1.0151e-05,19.467,0.032119,1,0.275,95.275,0,5
0.0089538,2.8685e-08,-0.00056546,-0.95408,19.466,9.288e-06,0.0070247,-1.405e-11,-1.1776e-11,19.96,-0.95408,9.288e-06,19.466,0.032119,1,0.28,95.28,0,5
0.0089537,2.8682e-08,-0.00056546,-0.95299,19.465,8.4544e-06,0.0065054,-1.3869e-11,-1.166e-11,19.959,-0.95299,8.4544e-06,19.465,0.032119,1,0.285,95.285,0,5
0.0089535,2.8678e-08,-0.00056546,-0.95189,19.464,7.6527e-06,0.0060029,-1.3689e-11,-1.1544e-11,19.957,-0.9519,7.6527e-06,19.464,0.032119,1,0.29,95.29,0,5
0.0089534,2.8675e-08,-0.00056546,-0.9508,19.463,6.8816e-06,0.0055162,-1.3508e-11,-1.1427e-11,19.955,-0.95081,6.8816e-06,19.463,0.032119,1,0.295,95.295,0,5
0.0089532,2.8671e-08,-0.00056546,-0.94971,19.462,6.1399e-06,0.0050447,-1.3328e-11,-1.131e-11,19.954,-0.94971,6.1399e-06,19.462,0.032119,1,0.3,95.3,0,5
0.008953,2.8667e-08,-0.00056546,-0.94862,19.461,5.4299e-06,0.0045899,-1.3148e-11,-1.1193e-11,19.952,-0.94862,5.4299e-06,19.461,0.032119,1,0.305,95.305,0,5
0.0089529,2.8664e-08,-0.00056546,-0.94753,19.46,4.7505e-06,0.0041509,-1.2967e-11,-1.1075e-11,19.95,-0.94754,4.7505e-06,19.46,0.032119,1,0.31,95.31,0,5
0.0089527,2.866e-08,-0.00056546,-0.94644,19.459,4.1007e-06,0.0037273,-1.2787e-11,-1.0956e-11,19.949,-0.94645,4.1007e-06,19.459,0.032119,1,0.315,95.315,0,5
0.0089526,2.8657e-08,-0.00056546,-0.94536,19.457,3.4824e-06,0.0033202,-1.2607e-11,-1.0837e-11,19.947,-0.94536,3.4824e-06,19.457,0.032119,1,0.32,95.32,0,5
0.0089524,2.8653e-08,-0.00056546,-0.94427,19.456,2.8948e-06,0.002929,-1.2427e-11,-1.0718e-11,19.945,-0.94427,2.8948e-06,19.456,0.032119,1,0.325,95.325,0,5
0.0089522,2.865e-08,-0.00056546,-0.94318,19.455,2.3368e-06,0.0025532,-1.2246e-11,-1.0598e-11,19.944,-0.94318,2.3368e-06,19.455,0.032119,1,0.33,95.33,0,5
0.0089521,2.8646e-08,-0.00056546,-0.9421,19.454,1.8103e-06,0.0021938,-1.2067e-11,-1.0478e-11,19.942,-0.9421,1.8103e-06,19.454,0.032119,1,0.335,95.335,0,5
0.0089519,2.8643e-08,-0.00056546,-0.94101,19.453,1.3144e-06,0.0018504,-1.1887e-11,-1.0357e-11,19.94,-0.94101,1.3144e-06,19.453,0.032119,1,0.34,95.34,0,5
0.0089518,2.8639e-08,-0.00056546,-0.93993,19.452,8.4831e-07,0.0015223,-1.1707e-11,-1.0236e-11,19.939,-0.93993,8.4831e-07,19.452,0.032119,1,0.345,95.345,0,5
0.0089516,2.8636e-08,-0.00056546,-0.93885,19.451,4.1354e-07,0.0012107,-1.1527e-11,-1.0114e-11,19.937,-0.93885,4.1354e-07,19.451,0.032119,1,0.35,95.35,0,5
0.0089514,2.8632e-08,-0.00056546,-0.93776,19.45,8.7438e-09,0.00091456,-1.1347e-11,-9.9923e-12,19.935,-0.93776,8.7438e-09,19.45,0.032119,1,0.355,95.355,0,5
0.0089513,2.8629e-08,-0.00056546,-0.93668,19.449,-3.6485e-07,0.00063478,-1.1167e-11,-9.8698e-12,19.934,-0.93668,-3.6485e-07,19.449,0.032119,1,0.36,95.36,0,5
0.0089511,2.8625e-08,-0.00056546,-0.9356,19.448,-7.0788e-07,0.00037091,-1.0988e-11,-9.7469e-12,19.932,-0.9356,-7.0788e-07,19.448,0.032119,1,0.365,95.365,0,5
0.008951,2.8622e-08,-0.00056546,-0.93452,19.447,-1.0208e-06,0.00012258,-1.0808e-11,-9.6234e-12,19.93,-0.93452,-1.0208e-06,19.447,0.032119,1,0.37,95.37,0,5
0.0089508,2.8618e-08,-0.00056546,-0.93344,19.445,-1.3027e-06,-0.00010946,-1.0628e-11,-9.4996e-12,19.929,-0.93344,-1.3027e-06,19.445,0.032119,1,0.375,95.375,0,5
