"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.039346,1.5983,4.1954e-09,12.409,170.05,22.315,0.00085415,-5.8884e-08,7.9542e-05,152.93,12.801,21.923,170.05,0.84315,1,1.75,51.75,0,5
0.039335,1.5998,4.2877e-09,12.564,169.74,21.741,0.0013183,-6.17e-08,7.6045e-05,152.8,13.142,21.164,169.74,0.83922,1,1.8,51.8,0,5
0.039324,1.6014,4.3782e-09,12.719,169.43,21.168,0.0017428,-6.4109e-08,7.257e-05,152.67,13.443,20.444,169.43,0.8353,1,1.85,51.85,0,5
0.039314,1.6029,4.467e-09,12.872,169.12,20.597,0.0021276,-6.6112e-08,6.9118e-05,152.54,13.707,19.763,169.12,0.83137,1,1.9,51.9,0,5
0.039303,1.6044,4.5539e-09,13.025,168.81,20.028,0.0024727,-6.7708e-08,6.5689e-05,152.41,13.932,19.121,168.81,0.82745,1,1.95,51.95,0,5
0.039293,1.606,4.6391e-09,13.177,168.5,19.46,0.0027782,-6.8898e-08,6.2283e-05,152.28,14.119,18.519,168.5,0.82352,1,2,52,0,5
0.039283,1.6075,4.7224e-09,13.328,168.19,18.894,0.0030439,-6.9681e-08,5.89e-05,152.16,14.267,17.955,168.19,0.81959,1,2.05,52.05,0,5
0.039273,1.6091,4.804e-09,13.479,167.88,18.329,0.00327,-7.0057e-08,5.5539e-05,152.04,14.377,17.431,167.88,0.81567,1,2.1,52.1,0,5
0.039263,1.6106,4.8838e-09,13.628,167.57,17.766,0.0034564,-7.0026e-08,5.2201e-05,151.92,14.448,16.947,167.57,0.81174,1,2.15,52.15,0,5
0.039253,1.6122,4.9618e-09,13.777,167.26,17.205,0.0036031,-6.9589e-08,4.8886e-05,151.8,14.481,16.501,167.26,0.80782,1,2.2,52.2,0,5
0.039243,1.6137,5.038e-09,13.925,166.95,16.646,0.0037102,-6.8745e-08,4.5593e-05,151.69,14.476,16.095,166.95,0.80389,1,2.25,52.25,0,5
0.039233,1.6153,5.1123e-09,14.072,166.64,16.088,0.0037775,-6.7494e-08,4.2323e-05,151.58,14.432,15.728,166.64,0.79997,1,2.3,52.3,0,5
0.039223,1.6168,5.1849e-09,14.218,166.33,15.531,0.0038052,-6.5837e-08,3.9076e-05,151.46,14.35,15.4,166.33,0.79604,1,2.35,52.35,0,5
