"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.018457,0.24883,0.00067219,21.18,150.86,18.186,0.001732,-0.0060671,7.3152,131.81,12.105,27.261,150.86,1.5889,1,2.85,27.85,0,5
0.018447,0.2495,0.00068564,21.434,150.39,17.733,0.0022487,-0.0061965,7.0385,131.42,12.171,26.996,150.39,1.5784,1,2.925,27.925,0,5
0.018437,0.25017,0.00069885,21.688,149.93,17.28,0.002714,-0.0062905,6.7638,131.03,12.216,26.752,149.93,1.5679,1,3,28,0,5
0.018427,0.25084,0.00071182,21.942,149.47,16.829,0.003128,-0.0063491,6.4911,130.64,12.24,26.531,149.47,1.5574,1,3.075,28.075,0,5
0.018417,0.25151,0.00072457,22.195,149,16.379,0.0034907,-0.0063723,6.2203,130.26,12.243,26.332,149,1.5469,1,3.15,28.15,0,5
0.018408,0.25218,0.00073709,22.449,148.54,15.931,-0.0038019,0.0063601,5.9516,129.88,12.225,26.154,148.54,0,1,3.225,28.225,0,5
0.018398,0.25285,0.00074937,22.701,148.08,15.483,-0.0040618,0.0063125,5.6848,129.51,12.186,25.999,148.08,0,1,3.3,28.3,0,5
0.018389,0.25352,0.00076143,22.954,147.61,15.037,-0.0042704,0.0062294,5.42,129.14,12.126,25.865,147.61,0,1,3.375,28.375,0,5
0.01838,0.25419,0.00077325,23.206,147.15,14.592,-0.0044276,0.006111,5.1571,128.78,12.044,25.754,147.15,0,1,3.45,28.45,0,5
0.018371,0.25486,0.00078484,23.458,146.69,14.148,-0.0045334,0.0059572,4.8962,128.42,11.942,25.664,146.69,0,1,3.525,28.525,0,5
0.018362,0.25553,0.00079621,23.71,146.23,13.705,-0.0045879,0.0057679,4.6373,128.06,11.819,25.596,146.23,0,1,3.6,28.6,0,5
0.018354,0.2562,0.00080734,23.961,145.76,13.264,-0.004591,0.0055433,4.3804,127.71,11.675,25.55,145.76,0,1,3.675,28.675,0,5
0.018345,0.25687,0.00081823,24.212,145.3,12.824,-0.0045428,0.0052832,4.1255,127.36,11.51,25.526,145.3,0,1,3.75,28.75,0,5
0.018337,0.25754,0.0008289,24.463,144.84,12.385,-0.0044432,0.0049878,3.8725,127.02,11.324,25.524,144.84,0,1,3.825,28.825,0,5
0.018329,0.25821,0.00083934,24.713,144.38,11.947,-0.0042923,0.0046569,3.6215,126.68,11.116,25.544,144.38,0,1,3.9,28.9,0,5
0.018321,0.25888,0.00084954,24.963,143.91,11.51,-0.0040899,0.0042906,3.3724,126.34,10.888,25.586,143.91,0,1,3.975,28.975,0,5
0.018314,0.25955,0.00085952,25.213,143.45,11.075,-0.0038363,0.003889,3.1254,126.01,10.639,25.649,143.45,0,1,4.05,29.05,0,5
0.018306,0.26022,0.00086926,25.463,142.99,10.641,-0.0035312,0.0034519,2.8803,125.68,10.369,25.735,142.99,0,1,4.125,29.125,0,5
0.018299,0.26089,0.00087878,25.712,142.53,10.208,-0.0031748,0.0029794,2.6372,125.36,10.077,25.842,142.53,0,1,4.2,29.2,0,5
0.018292,0.26156,0.00088806,25.961,142.06,9.7759,-0.0027671,0.0024715,2.396,125.04,9.7651,25.972,142.06,0,1,4.275,29.275,0,5
0.018284,0.26223,0.00089711,26.21,141.6,9.3453,0.002308,-0.0019282,2.1569,124.73,9.4318,26.123,141.6,1.3791,1,4.35,29.35,0,5
0.018278,0.2629,0.00090593,26.458,141.14,8.916,0.0017975,-0.0013495,1.9197,124.42,9.0775,26.296,141.14,1.3686,1,4.425,29.425,0,5
0.018271,0.26357,0.00091451,26.706,140.68,8.4878,0.0012357,-0.00073542,1.6845,124.11,8.7022,26.492,140.68,1.3581,1,4.5,29.5,0,5
0.018265,0.26424,0.00092287,26.954,140.22,8.0608,0.00062252,-8.5903e-05,1.4512,123.81,8.3059,26.709,140.22,1.3476,1,4.575,29.575,0,5
0.018259,0.26491,0.000931,27.201,139.75,7.635,-4.2013e-05,0.000599,1.22,123.51,7.8885,26.948,139.75,1.3371,1,4.65,29.65,0,5
0.018253,0.26558,0.00093889,27.448,139.29,7.2105,-0.00075792,0.0013193,0.99068,123.22,7.4502,27.209,139.29,1.3266,1,4.725,29.725,0,5
0.018247,0.26625,0.00094655,27.695,138.83,6.7871,-0.0015252,0.002075,0.76336,122.93,6.9908,27.491,138.83,1.3162,1,4.8,29.8,0,5
0.018242,0.26692,0.00095399,27.942,138.37,6.365,-0.0023438,0.0028662,0.53802,122.65,6.5104,27.796,138.37,1.3057,1,4.875,29.875,0,5
0.018237,0.26759,0.00096119,28.188,137.91,5.944,-0.0032138,0.0036927,0.31464,122.37,6.009,28.123,137.91,1.2952,1,4.95,29.95,0,5
0.018231,0.26827,0.00096816,28.395,137.49,5.6175,-0.0038243,0.0041851,0.13411,122.09,5.616,28.396,137.49,1.2851,1,5.025,30.025,0,5
0.018226,0.26894,0.00097488,28.522,137.18,5.4806,-0.0037362,0.0039501,0.038068,121.82,5.4781,28.525,137.18,1.2758,1,5.1,30.1,0,5
0.018221,0.26961,0.00098146,28.65,136.86,5.3429,-0.0036445,0.0037205,-0.057727,121.55,5.339,28.654,136.86,1.2666,1,5.175,30.175,0,5
0.018216,0.27028,0.00098791,28.779,136.54,5.2044,-0.0035494,0.0034963,-0.15328,121.28,5.1986,28.784,136.54,1.2574,1,5.25,30.25,0,5
0.018211,0.27095,0.00099421,28.908,136.23,5.0651,-0.0034508,0.0032775,-0.24858,121.01,5.057,28.916,136.23,1.2482,1,5.325,30.325,0,5
0.018206,0.27162,0.0010004,29.037,135.91,4.9251,-0.0033487,0.003064,-0.34364,120.74,4.9142,29.048,135.91,1.2389,1,5.4,30.4,0,5
0.018201,0.27229,0.0010064,29.168,135.59,4.7842,-0.0032432,0.002856,-0.43845,120.48,4.7702,29.182,135.59,1.2297,1,5.475,30.475,0,5
0.018197,0.27296,0.0010123,29.299,135.27,4.6426,-0.0031341,0.0026533,-0.53301,120.21,4.625,29.316,135.27,1.2205,1,5.55,30.55,0,5
0.018192,0.27363,0.001018,29.43,134.96,4.5001,-0.0030216,0.0024559,-0.62732,119.95,4.4785,29.452,134.96,1.2113,1,5.625,30.625,0,5
0.018188,0.2743,0.0010236,29.563,134.64,4.3569,-0.0029056,0.002264,-0.72139,119.69,4.3309,29.589,134.64,1.2021,1,5.7,30.7,0,5
0.018184,0.27497,0.0010291,29.696,134.32,4.2129,0.0027861,-0.0020774,-0.81521,119.43,4.182,29.726,134.32,0,1,5.775,30.775,0,5
0.01818,0.27564,0.0010344,29.829,134,4.0681,0.0026631,-0.0018963,-0.90879,119.17,4.0319,29.865,134,0,1,5.85,30.85,0,5
0.018176,0.27631,0.0010396,29.963,133.68,3.9225,0.0025366,-0.0017205,-1.0021,118.91,3.8806,30.005,133.68,0,1,5.925,30.925,0,5
0.018172,0.27698,0.0010447,30.098,133.37,3.7761,0.0024067,-0.00155,-1.0952,118.65,3.7281,30.146,133.37,0,1,6,31,0,5
0.018168,0.27765,0.0010496,30.233,133.05,3.6289,0.0022733,-0.001385,-1.188,118.4,3.5744,30.288,133.05,0,1,6.075,31.075,0,5
0.018164,0.27832,0.0010544,30.369,132.73,3.4809,0.0021364,-0.0012253,-1.2806,118.14,3.4194,30.431,132.73,0,1,6.15,31.15,0,5
0.018161,0.27899,0.001059,30.506,132.41,3.3322,0.001996,-0.001071,-1.3729,117.89,3.2633,30.575,132.41,0,1,6.225,31.225,0,5
0.018157,0.27966,0.0010635,30.643,132.09,3.1826,0.0018521,-0.00092211,-1.465,117.64,3.1059,30.72,132.09,0,1,6.3,31.3,0,5
0.018154,0.28033,0.0010679,30.781,131.77,3.0323,0.0017048,-0.00077858,-1.5569,117.38,2.9473,30.866,131.77,0,1,6.375,31.375,0,5
0.01815,0.281,0.0010721,30.92,131.45,2.8811,0.0015539,-0.00064042,-1.6485,117.13,2.7875,31.013,131.45,0,1,6.45,31.45,0,5
0.018147,0.28167,0.0010762,31.059,131.13,2.7292,0.0013996,-0.00050765,-1.7398,116.89,2.6265,31.162,131.13,0,1,6.525,31.525,0,5
0.018144,0.28234,0.0010801,31.199,130.81,2.5765,0.0012418,-0.00038025,-1.8309,116.64,2.4642,31.311,130.81,0,1,6.6,31.6,0,5
0.018141,0.28301,0.0010839,31.339,130.49,2.423,0.0010805,-0.00025823,-1.9218,116.39,2.3008,31.461,130.49,0,1,6.675,31.675,0,5
0.018138,0.28368,0.0010876,31.48,130.17,2.2687,0.00091577,-0.00014159,-2.0124,116.15,2.1361,31.613,130.17,0,1,6.75,31.75,0,5
0.018134,0.28435,0.0010911,31.622,129.85,2.1136,-0.00074752,3.0326e-05,-2.1028,115.9,1.9702,31.765,129.85,1.0637,1,6.825,31.825,0,5
0.018131,0.28502,0.0010945,31.764,129.53,1.9577,-0.00057579,-7.5556e-05,-2.1929,115.66,1.8031,31.918,129.53,1.0545,1,6.9,31.9,0,5
0.018129,0.28569,0.0010977,31.907,129.21,1.8011,-0.00040058,-0.00017606,-2.2827,115.42,1.6348,32.073,129.21,1.0452,1,6.975,31.975,0,5
0.018126,0.28636,0.0011009,32.05,128.89,1.6436,-0.00022188,-0.00027119,-2.3724,115.18,1.4653,32.229,128.89,1.036,1,7.05,32.05,0,5
0.018124,0.28703,0.0011038,32.194,128.57,1.4853,-3.9703e-05,-0.00036094,-2.4617,114.94,1.2946,32.385,128.57,1.0268,1,7.125,32.125,0,5
0.018121,0.2877,0.0011067,32.339,128.25,1.3263,0.00014596,-0.00044531,-2.5509,114.7,1.1226,32.543,128.25,1.0176,1,7.2,32.2,0,5
0.018119,0.28837,0.0011093,32.485,127.93,1.1665,0.00033511,-0.0005243,-2.6398,114.46,0.94942,32.702,127.93,1.0084,1,7.275,32.275,0,5
0.018117,0.28904,0.0011119,32.631,127.61,1.0059,0.00052773,-0.00059791,-2.7284,114.23,0.77504,32.861,127.61,0.99913,1,7.35,32.35,0,5
0.018115,0.28971,0.0011143,32.777,127.29,0.84444,0.00072385,-0.00066614,-2.8168,113.99,0.59943,33.022,127.29,0.98991,1,7.425,32.425,0,5
0.018113,0.29038,0.0011166,32.925,126.97,0.68224,0.00092344,-0.000729,-2.9049,113.76,0.42261,33.184,126.97,0.98068,1,7.5,32.5,0,5
0.018111,0.29105,0.0011188,33.031,126.73,0.63942,0.00083679,-0.00070563,-2.9122,113.53,0.37971,33.291,126.73,0.97462,1,7.575,32.575,0,5
