"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7284,5.9717,106.73,0.12391,-0.011664,-2.2808e-09,-4.1677e-12,103.81,0.17618,5.9194,106.73,0.0211,-0.025727,-1.8251e-13,1,3.2512,54.051,0,0
2.7284,6.1583,106.21,0.11376,-0.011885,-2.2209e-09,-4.2413e-12,103.21,0.17023,6.1018,106.21,0.021088,-0.025666,-1.8259e-13,1,3.3528,54.153,0,0
2.7284,6.3448,105.69,0.10365,-0.012103,-2.1531e-09,-4.3148e-12,102.61,0.16349,6.2849,105.69,0.021076,-0.025605,-1.8267e-13,1,3.4544,54.254,0,0
2.7284,6.5312,105.16,0.093584,-0.01232,-2.0772e-09,-4.3884e-12,102.01,0.15595,6.4688,105.16,0.021064,-0.025544,-1.8275e-13,1,3.556,54.356,0,0
2.7284,6.7175,104.64,0.083562,-0.012534,-1.9934e-09,-4.4619e-12,101.4,0.14763,6.6534,104.64,0.021052,-0.025483,-1.8284e-13,1,3.6576,54.458,0,0
2.7284,6.9037,104.11,0.073583,-0.012746,-1.9015e-09,-4.5355e-12,100.8,0.13851,6.8388,104.11,0.021041,-0.025422,-1.8292e-13,1,3.7592,54.559,0,0
2.7284,7.0898,103.59,0.063648,-0.012955,-1.8016e-09,-4.609e-12,100.2,0.1286,7.0248,103.59,0.02103,-0.025362,-1.83e-13,1,3.8608,54.661,0,0
2.7284,7.2758,103.07,0.053757,-0.013163,-1.6938e-09,-4.6825e-12,99.603,0.11789,7.2116,103.07,0.021018,-0.025301,-1.8308e-13,1,3.9624,54.762,0,0
2.7284,7.4617,102.54,0.04391,-0.013367,-1.5779e-09,-4.7561e-12,99.004,0.1064,7.3992,102.54,0.021007,-0.02524,-1.8316e-13,1,4.064,54.864,0,0
2.7284,7.6475,102.02,0.034106,-0.01357,-1.4541e-09,-4.8296e-12,98.405,0.094109,7.5875,102.02,0.020997,-0.025179,-1.8324e-13,1,4.1656,54.966,0,0
2.7284,7.8332,101.5,0.024346,-0.01377,-1.3223e-09,-4.9032e-12,97.806,0.081028,7.7765,101.5,0.020986,-0.025118,-1.8332e-13,1,4.2672,55.067,0,0
2.7284,8.0188,100.97,0.01463,-0.013968,-1.1824e-09,-4.9767e-12,97.208,0.067156,7.9663,100.97,0.020975,-0.025057,-1.834e-13,1,4.3688,55.169,0,0
2.7284,8.2043,100.45,0.0049574,-0.014164,-1.0346e-09,-5.0502e-12,96.611,0.052492,8.1568,100.45,0.020965,-0.024996,-1.8349e-13,1,4.4704,55.27,0,0
2.7284,8.3897,99.927,-0.0046716,-0.014357,-8.7873e-10,-5.1238e-12,96.014,0.037035,8.348,99.927,0.020955,-0.024935,-1.8357e-13,1,4.572,55.372,0,0
2.7284,8.575,99.404,-0.014256,-0.014548,-7.149e-10,-5.1973e-12,95.418,0.020787,8.54,99.404,0.020945,-0.024874,-1.8365e-13,1,4.6736,55.474,0,0
2.7284,8.7602,98.881,-0.023798,-0.014736,-5.4306e-10,-5.2709e-12,94.822,0.003746,8.7327,98.881,0.020935,-0.024813,-1.8373e-13,1,4.7752,55.575,0,0
