"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00040637,3.6511e-09,-2.321e-05,-0.69174,2.9583,5.8725e-06,0.0016233,2.6544e-15,-5.7164e-14,3.3581,-0.69174,5.8725e-06,2.9583,1.3322,1,2.175,27.175,0,5
0.00040582,3.6267e-09,-2.321e-05,-0.68083,2.9474,5.2419e-06,0.0014,7.2371e-16,-5.6545e-14,3.3403,-0.68083,5.2419e-06,2.9474,1.3322,1,2.25,27.25,0,5
0.00040527,3.6025e-09,-2.321e-05,-0.66992,2.9365,4.5249e-06,0.001175,-1.2012e-15,-5.5748e-14,3.3225,-0.66992,4.5249e-06,2.9365,1.3322,1,2.325,27.325,0,5
0.00040473,3.5784e-09,-2.321e-05,-0.65901,2.9256,3.7216e-06,0.00094838,-3.1204e-15,-5.4771e-14,3.3048,-0.65901,3.7216e-06,2.9256,1.3322,1,2.4,27.4,0,5
0.00040419,3.5546e-09,-2.321e-05,-0.6481,2.9147,2.8318e-06,0.00072013,-5.0338e-15,-5.3616e-14,3.287,-0.6481,2.8318e-06,2.9147,1.3322,1,2.475,27.475,0,5
0.00040366,4.2289e-09,-2.321e-05,-0.63876,2.9053,1.6035e-06,0.00056432,-6.1168e-15,-4.7917e-14,3.2718,-0.63876,1.6035e-06,2.9053,1.3289,1,2.55,27.55,0,5
0.00040313,4.2013e-09,-2.321e-05,-0.63027,2.8968,3.1604e-07,0.00045688,-6.7692e-15,-4.0186e-14,3.258,-0.63027,3.1604e-07,2.8968,1.3238,1,2.625,27.625,0,5
0.00040261,4.1739e-09,-2.321e-05,-0.62177,2.8883,-8.8238e-07,0.00035129,-7.4093e-15,-3.2634e-14,3.2442,-0.62177,-8.8238e-07,2.8883,1.3188,1,2.7,27.7,0,5
0.00040209,4.1468e-09,-2.321e-05,-0.61327,2.8798,-1.9917e-06,0.00024754,-8.0372e-15,-2.5262e-14,3.2304,-0.61327,-1.9917e-06,2.8798,1.3138,1,2.775,27.775,0,5
0.00040158,4.1198e-09,-2.321e-05,-0.60478,2.8713,-3.0119e-06,0.00014562,-8.6529e-15,-1.8068e-14,3.2166,-0.60478,-3.0119e-06,2.8713,1.3087,1,2.85,27.85,0,5
